FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,J,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1838.88997584501,NA
1.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1844.0634288677,NA
10.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1860.77839660384,NA
11.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1870.69771394732,NA
12.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1837.8216594717,NA
13.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1868.97977535602,NA
14.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1905.45271193972,NA
15.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1847.44204831903,NA
16.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1908.9022907689,NA
17.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1874.7135587508,NA
18.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1864.40394807814,NA
19.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1843.03939484758,NA
2.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1840.84110083105,NA
20.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1841.29762224232,NA
21.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1844.69203563937,NA
22.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1839.68477306404,NA
23.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1859.46254905902,NA
3.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1849.16743270744,NA
4.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1842.45996302582,NA
5.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1937.44722958826,NA
6.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1879.26028203173,NA
7.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1902.64406586831,NA
8.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1887.30803818994,NA
9.wav,22050,16,60.02,1,acoustic_complexity,512,1,11025,5,1879.62001545648,NA
