FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,MAX_FREQ,DB_THRESHOLD,FREQ_STEPS,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.787297,NA
1.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.778924,NA
10.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.353305,NA
11.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.485771,NA
12.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.586598,NA
13.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.310586,NA
14.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.367575,NA
15.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.149682,NA
16.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.929225,NA
17.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,2.059443,NA
18.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.813781,NA
19.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.881214,NA
2.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.723285,NA
20.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.80694,NA
21.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.900376,NA
22.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.89755,NA
23.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.781181,NA
3.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.912693,NA
4.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.671223,NA
5.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.761207,NA
6.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.154936,NA
7.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.530279,NA
8.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.552164,NA
9.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.13386,NA
