FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,WL,ENVT,MSMOOTH,KSMOOTH,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.772704286455288,NA
1.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.774912664934629,NA
10.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.630520245036118,NA
11.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.699394240317655,NA
12.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.746400152234508,NA
13.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.650952526072147,NA
14.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.687225120864096,NA
15.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.664914549662207,NA
16.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.787293653057563,NA
17.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.797014646898049,NA
18.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.788909763584832,NA
19.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.752973670496029,NA
2.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.758476407687428,NA
20.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.769341482527787,NA
21.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.768672293093613,NA
22.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.778600311225692,NA
23.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.758754851088404,NA
3.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.776070077607929,NA
4.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.714153375983355,NA
5.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.756078266436519,NA
6.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.668539363351936,NA
7.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.700765335980233,NA
8.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.696092838840946,NA
9.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.65524629204097,NA
