FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,MAX_FREQ,DB_THRESHOLD,FREQ_STEPS,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.51698,NA
1.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.527049,NA
10.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.699862,NA
11.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.651207,NA
12.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.591552,NA
13.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.711961,NA
14.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.696596,NA
15.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.757486,NA
16.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.44175,NA
17.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.363235,NA
18.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.525002,NA
19.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.455915,NA
2.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.559183,NA
20.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.507436,NA
21.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.447474,NA
22.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.444326,NA
23.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.525447,NA
3.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.409205,NA
4.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.580736,NA
5.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.543922,NA
6.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.751898,NA
7.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.643586,NA
8.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.638518,NA
9.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.760165,NA
