FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,55.220001247321,NA
1.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,58.8004442749727,NA
10.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,30.3515198458291,NA
11.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,24.9863246435823,NA
12.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,34.5368918073527,NA
13.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,28.9838711388944,NA
14.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,51.0028401582931,NA
15.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,41.503130658789,NA
16.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,44.2563867582293,NA
17.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,43.5816279045756,NA
18.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,48.712716838567,NA
19.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,46.3795994426689,NA
2.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,52.458586233529,NA
20.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,47.2423961035464,NA
21.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,44.7104941826643,NA
22.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,46.4334826712766,NA
23.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,52.1151770707986,NA
3.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,68.6515857692634,NA
4.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,65.3873676029951,NA
5.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,34.4479702006456,NA
6.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,51.2494932539012,NA
7.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,38.474361649826,NA
8.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,37.5645828744005,NA
9.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,32.8349731470197,NA
