FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,ANTHRO_MIN,ANTHRO_MAX,BIO_MIN,BIO_MAX,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.966936238132838,NA
1.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.942576184841561,NA
10.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.174325487384503,NA
11.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.203962168558055,NA
12.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.099950395040022,NA
13.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.284535703075721,NA
14.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.393067104590886,NA
15.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.152913684426798,NA
16.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.977831671019114,NA
17.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.968508080512169,NA
18.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.970055865578744,NA
19.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.965337612519811,NA
2.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.917398462725949,NA
20.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.963182594166004,NA
21.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.960703848538052,NA
22.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.955000232002648,NA
23.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.944264477510282,NA
3.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.925377731918965,NA
4.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.650075290150191,NA
5.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.443149009069075,NA
6.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.0428692294090607,NA
7.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.412833946449831,NA
8.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.0853915267051522,NA
9.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.142263202204016,NA
