FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,WL,ENVT,MSMOOTH,KSMOOTH,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.721560983871545,NA
1.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.721414932274592,NA
10.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.718726993037434,NA
11.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.733392557473057,NA
12.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.748875087884,NA
13.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.731909829511988,NA
14.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.713396847695255,NA
15.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.745260396058322,NA
16.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.751495055050008,NA
17.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.771650866215182,NA
18.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.74810451621963,NA
19.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.756113584857308,NA
2.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.7191438571622,NA
20.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.726131303614225,NA
21.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.706878538055697,NA
22.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.710679554276333,NA
23.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.707607649935759,NA
3.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.721538927572568,NA
4.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.743057173398551,NA
5.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.770846600051655,NA
6.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.771008574277335,NA
7.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.764080818599454,NA
8.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.769918101518042,NA
9.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.722651299853944,NA
