FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,MAX_FREQ,DB_THRESHOLD,FREQ_STEPS,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.614553,NA
1.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.74235,NA
10.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.60327,NA
11.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.680517,NA
12.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.514777,NA
13.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.659739,NA
14.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.688744,NA
15.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.561388,NA
16.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.511644,NA
17.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.511598,NA
18.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.564823,NA
19.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.575468,NA
2.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.611524,NA
20.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.634347,NA
21.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.609328,NA
22.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.660194,NA
23.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.607801,NA
3.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.668809,NA
4.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.597715,NA
5.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.513628,NA
6.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.558812,NA
7.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.50889,NA
8.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.586614,NA
9.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.652359,NA
