FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,ANTHRO_MIN,ANTHRO_MAX,BIO_MIN,BIO_MAX,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.316314420193074,NA
1.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.310770506729122,NA
10.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.418774936236473,NA
11.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.482143584609567,NA
12.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.423151442646366,NA
13.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.457764787692788,NA
14.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.497819672540813,NA
15.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.452092291393792,NA
16.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.423346119641885,NA
17.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.360738324467859,NA
18.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.450209712947166,NA
19.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.245595240231462,NA
2.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.309445688952908,NA
20.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.228237855818129,NA
21.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.135865085878247,NA
22.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.321931036044589,NA
23.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.309957829731057,NA
3.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.321166573614775,NA
4.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.262970252719218,NA
5.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.305134837003791,NA
6.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.236729121233411,NA
7.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.330010113021585,NA
8.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.233415878033256,NA
9.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,-0.431364781172985,NA
