FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,MAX_FREQ,DB_THRESHOLD,FREQ_STEPS,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.925344,NA
1.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.95732,NA
10.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.201897,NA
11.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.31174,NA
12.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.379635,NA
13.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.508282,NA
14.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.631439,NA
15.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.593056,NA
16.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.796563,NA
17.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.848366,NA
18.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,2.076045,NA
19.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,2.123583,NA
2.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.965453,NA
20.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,2.085963,NA
21.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.864068,NA
22.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.911618,NA
23.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.977726,NA
3.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.770005,NA
4.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.400546,NA
5.wav,22050,16,60.02,1,acoustic_diversity,10000,-50,1000,1.668754,NA
6.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.926239,NA
7.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.712872,NA
8.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.715976,NA
9.wav,22050,16,60.01,1,acoustic_diversity,10000,-50,1000,1.893011,NA
