FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,WL,ENVT,MSMOOTH,KSMOOTH,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.853085160412764,NA
1.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.83111106414541,NA
10.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.690068508539635,NA
11.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.689101886551284,NA
12.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.701227200450966,NA
13.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.723779879926407,NA
14.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.742018216430664,NA
15.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.806450811270012,NA
16.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.816411664933007,NA
17.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.815653437320014,NA
18.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.866699444481633,NA
19.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.84995588848002,NA
2.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.823831917354029,NA
20.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.854434835899333,NA
21.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.853858976964995,NA
22.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.848612135637147,NA
23.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.853308013494951,NA
3.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.785876803547299,NA
4.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.722228984284179,NA
5.wav,22050,16,60.02,1,H,512,hil,NULL,NULL,0.777616359380377,NA
6.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.824915771977939,NA
7.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.781478328519442,NA
8.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.801375722628154,NA
9.wav,22050,16,60.01,1,H,512,hil,NULL,NULL,0.772523729911767,NA
