FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,MAX_FREQ,DB_THRESHOLD,FREQ_STEPS,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.387467,NA
1.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.381862,NA
10.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.741299,NA
11.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.716227,NA
12.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.693763,NA
13.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.657895,NA
14.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.612294,NA
15.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.621623,NA
16.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.539395,NA
17.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.515428,NA
18.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.329423,NA
19.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.273407,NA
2.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.38429,NA
20.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.303976,NA
21.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.441336,NA
22.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.396903,NA
23.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.361173,NA
3.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.515483,NA
4.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.680762,NA
5.wav,22050,16,60.02,1,acoustic_evenness,10000,-50,1000,0.575695,NA
6.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.45709,NA
7.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.572985,NA
8.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.569207,NA
9.wav,22050,16,60.01,1,acoustic_evenness,10000,-50,1000,0.479405,NA
