FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,61.8311819836053,NA
1.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,54.7513561983424,NA
10.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,25.6623360372754,NA
11.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,29.5761568567469,NA
12.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,39.5233400370235,NA
13.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,23.0528942968654,NA
14.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,28.7252352698254,NA
15.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,30.383777476679,NA
16.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,32.4336730311051,NA
17.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,32.4117206334422,NA
18.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,29.8480694673088,NA
19.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,65.3190789837817,NA
2.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,56.1587812021874,NA
20.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,66.641909038276,NA
21.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,65.0727459530302,NA
22.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,57.3156100835652,NA
23.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,63.0910358284702,NA
3.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,62.5698639798585,NA
4.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,72.7625933125648,NA
5.wav,22050,16,60.02,1,bioacoustic_index,512,2000,8000,47.0029787780361,NA
6.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,46.9116851834388,NA
7.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,45.4858613618904,NA
8.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,44.8618991455491,NA
9.wav,22050,16,60.01,1,bioacoustic_index,512,2000,8000,43.7261194825811,NA
