FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,ANTHRO_MIN,ANTHRO_MAX,BIO_MIN,BIO_MAX,LEFT_CHANNEL,RIGHT_CHANNEL
0.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.992757006562362,NA
1.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.978709760857989,NA
10.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.366959174565949,NA
11.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.356272830551001,NA
12.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.454896250024917,NA
13.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.842265938664512,NA
14.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,-0.241613120353164,NA
15.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.0710727533795716,NA
16.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.50326180762497,NA
17.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.415339692194606,NA
18.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.899311970499793,NA
19.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.998375520251022,NA
2.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.981189566938743,NA
20.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.997288158417021,NA
21.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.994861799549861,NA
22.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.992491471889233,NA
23.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.990720619599374,NA
3.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.965850960447922,NA
4.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.933744515228364,NA
5.wav,22050,16,60.02,1,ndsi,1024,1000,2000,2000,11025,0.969606642192881,NA
6.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.382802349668908,NA
7.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.753306858646503,NA
8.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.347708559699631,NA
9.wav,22050,16,60.01,1,ndsi,1024,1000,2000,2000,11025,0.673777462540246,NA
